VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchasRatio,UnsoldInventoryValue
1128,BROWN-FORMAN CORP          ,1233,Jack Daniels No 7 Black,26.27,36.99,1750,145080,3811251.6,139150.0,5000483.5,661902.43,255672.6,68601.68,1189231.9,23.782338247891428,0.9591259994485801,1.3120318532631117,155781.1
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750,164038,3804041.22,155918.0,4693575.78,552380.52,286484.41,144929.24,889534.56,18.95217211130231,0.950499274558334,1.2338393588700387,188302.80000000002
17035,PERNOD RICARD USA          ,8068,Absolut 80 Proof,18.24,24.99,1750,187407,3418303.68,183423.0,4450808.27,453458.92,337024.3,123780.22,1032504.5899999994,23.19813677348091,0.978741455762058,1.3020517445658892,72668.15999999999
3960,DIAGEO NORTH AMERICA INC   ,4261,Capt Morgan Spiced Rum,16.17,22.99,1750,201682,3261197.94,194014.0,4341678.86,413459.14999999997,356486.75,257032.07,1080480.9200000004,24.886246883768838,0.9619797502999772,1.331314118271521,123991.56000000001
3960,DIAGEO NORTH AMERICA INC   ,3545,Ketel One Vodka,21.89,29.99,1750,138109,3023206.01,132388.0,4119642.12,535791.61,243248.68,257032.07,1096436.1100000003,26.61483881517359,0.9585761970617411,1.3626733032328155,125232.69
480,BACARDI USA INC            ,3858,Grey Goose Vodka,17.77,23.99,750,138809,2466635.93,139110.0,3318093.9,439014.89999999997,109533.9,89286.27,851457.9699999997,25.66105709063869,1.0021684472908816,1.3451899648603594,-5348.7699999999995
17035,PERNOD RICARD USA          ,2589,Jameson Irish Whiskey,30.76,39.99,1750,70783,2177285.08,66933.0,2671022.67,602410.53,122981.73,123780.22,493737.58999999985,18.48496441252593,0.9456084087987229,1.2267675439175838,118426.0
3960,DIAGEO NORTH AMERICA INC   ,3102,Smirnoff Traveler,12.94,17.99,1750,161386,2088334.84,144377.0,2525984.23,287030.56,265278.64,257032.07,437649.3899999999,17.325895577740795,0.8946067192941147,1.2095685910215432,220096.46
3960,DIAGEO NORTH AMERICA INC   ,3489,Tanqueray,20.73,27.99,1750,91835,1903739.55,88672.0,2589857.28,494564.26999999996,162920.66999999998,257032.07,686117.7299999997,26.492491895151836,0.9655577938694397,1.3604052508128015,65568.99
12546,JIM BEAM BRANDS COMPANY    ,1376,Jim Beam,16.29,21.99,1750,108866,1773427.14,104103.0,2373304.9699999997,420144.0,191272.33,123880.97,599877.8299999998,25.27605333418233,0.9562489666195139,1.3382590784079238,77589.26999999999
